asset,target_type,target_name,parameters,n_classes,class_distribution,best_model,best_accuracy,best_f1,best_cv_accuracy,combined_score,all_models
META,simple_returns,SimpleReturns_b-0.02_s0.005_f1d,"{'buy_threshold': -0.02, 'sell_threshold': 0.005, 'forward_days': 1}",3,"{0: 0.44454976303317534, 1: 0.4104265402843602, 2: 0.14502369668246445}",XGBoost,0.4037854889589905,0.41909322642629543,0.47863247863247865,0.4338370646725882,"{'LogisticRegression': {'cv_accuracy': np.float64(0.3433048433048433), 'test_accuracy': 0.3217665615141956, 'test_f1': 0.3453318979576734, 'test_precision': 0.4739872815582595, 'test_recall': 0.3217665615141956, 'combined_score': np.float64(0.33680110092557075)}, 'RandomForest': {'cv_accuracy': np.float64(0.433048433048433), 'test_accuracy': 0.3470031545741325, 'test_f1': 0.3864702407521112, 'test_precision': 0.45341623685250143, 'test_recall': 0.3470031545741325, 'combined_score': np.float64(0.3888406094582256)}, 'XGBoost': {'cv_accuracy': np.float64(0.47863247863247865), 'test_accuracy': 0.4037854889589905, 'test_f1': 0.41909322642629543, 'test_precision': 0.44271003877524934, 'test_recall': 0.4037854889589905, 'combined_score': np.float64(0.4338370646725882)}, 'KNN': {'cv_accuracy': np.float64(0.3575498575498575), 'test_accuracy': 0.2902208201892745, 'test_f1': 0.3224258095233168, 'test_precision': 0.4262898635073339, 'test_recall': 0.2902208201892745, 'combined_score': np.float64(0.3233988290874829)}, 'DecisionTree': {'cv_accuracy': np.float64(0.34188034188034194), 'test_accuracy': 0.38170347003154576, 'test_f1': 0.396869266062454, 'test_precision': 0.43223766640624534, 'test_recall': 0.38170347003154576, 'combined_score': np.float64(0.3734843593247805)}, 'AdaBoost': {'cv_accuracy': np.float64(0.3219373219373219), 'test_accuracy': 0.3659305993690852, 'test_f1': 0.357200807464861, 'test_precision': 0.4872529150683446, 'test_recall': 0.3659305993690852, 'combined_score': np.float64(0.34835624292375605)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.4202279202279202), 'test_accuracy': 0.42902208201892744, 'test_f1': 0.4494071482753723, 'test_precision': 0.47567312916666, 'test_recall': 0.42902208201892744, 'combined_score': np.float64(0.43288571684074)}}"
META,simple_returns,SimpleReturns_b-0.02_s0.005_f3d,"{'buy_threshold': -0.02, 'sell_threshold': 0.005, 'forward_days': 3}",3,"{1: 0.4843601895734597, 2: 0.2720379146919431, 0: 0.24360189573459715}",GradientBoosting,0.3280757097791798,0.3206537097594492,0.5182389937106918,0.38898947108310694,"{'LogisticRegression': {'cv_accuracy': np.float64(0.41383647798742135), 'test_accuracy': 0.3028391167192429, 'test_f1': 0.2417655777006262, 'test_precision': 0.3441967417074751, 'test_recall': 0.3028391167192429, 'combined_score': np.float64(0.3194803908024302)}, 'RandomForest': {'cv_accuracy': np.float64(0.48679245283018874), 'test_accuracy': 0.27129337539432175, 'test_f1': 0.23195489000343925, 'test_precision': 0.3933750405708126, 'test_recall': 0.27129337539432175, 'combined_score': np.float64(0.3300135727426499)}, 'XGBoost': {'cv_accuracy': np.float64(0.5144654088050314), 'test_accuracy': 0.334384858044164, 'test_f1': 0.3134808219311509, 'test_precision': 0.4262937895018867, 'test_recall': 0.334384858044164, 'combined_score': np.float64(0.3874436962601155)}, 'KNN': {'cv_accuracy': np.float64(0.5081761006289308), 'test_accuracy': 0.2586750788643533, 'test_f1': 0.20666111866222334, 'test_precision': 0.33367824966116716, 'test_recall': 0.2586750788643533, 'combined_score': np.float64(0.32450409938516916)}, 'DecisionTree': {'cv_accuracy': np.float64(0.34591194968553457), 'test_accuracy': 0.334384858044164, 'test_f1': 0.2862514573476078, 'test_precision': 0.5117189039549627, 'test_recall': 0.334384858044164, 'combined_score': np.float64(0.3221827550257688)}, 'AdaBoost': {'cv_accuracy': np.float64(0.30943396226415093), 'test_accuracy': 0.305993690851735, 'test_f1': 0.2785626843235671, 'test_precision': 0.4555711220912648, 'test_recall': 0.305993690851735, 'combined_score': np.float64(0.29799677914648437)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.5182389937106918), 'test_accuracy': 0.3280757097791798, 'test_f1': 0.3206537097594492, 'test_precision': 0.39977997863798365, 'test_recall': 0.3280757097791798, 'combined_score': np.float64(0.38898947108310694)}}"
META,simple_returns,SimpleReturns_b-0.02_s0.005_f5d,"{'buy_threshold': -0.02, 'sell_threshold': 0.005, 'forward_days': 5}",3,"{1: 0.5127962085308057, 2: 0.28720379146919434, 0: 0.2}",GradientBoosting,0.35646687697160884,0.3486903419178535,0.526378896882494,0.41051203859065205,"{'LogisticRegression': {'cv_accuracy': np.float64(0.40887290167865703), 'test_accuracy': 0.2586750788643533, 'test_f1': 0.19330393649698094, 'test_precision': 0.5638153263408413, 'test_recall': 0.2586750788643533, 'combined_score': np.float64(0.28695063901333046)}, 'RandomForest': {'cv_accuracy': np.float64(0.5287769784172661), 'test_accuracy': 0.34069400630914826, 'test_f1': 0.30030614140132184, 'test_precision': 0.5349971758814246, 'test_recall': 0.34069400630914826, 'combined_score': np.float64(0.38992570870924537)}, 'XGBoost': {'cv_accuracy': np.float64(0.5239808153477218), 'test_accuracy': 0.33753943217665616, 'test_f1': 0.322961011167443, 'test_precision': 0.4639882400868389, 'test_recall': 0.33753943217665616, 'combined_score': np.float64(0.39482708623060697)}, 'KNN': {'cv_accuracy': np.float64(0.5551558752997602), 'test_accuracy': 0.31230283911671924, 'test_f1': 0.2756556909385858, 'test_precision': 0.43298543821433827, 'test_recall': 0.31230283911671924, 'combined_score': np.float64(0.3810381351183551)}, 'DecisionTree': {'cv_accuracy': np.float64(0.4004796163069544), 'test_accuracy': 0.26498422712933756, 'test_f1': 0.2038227614330079, 'test_precision': 0.40335371491050875, 'test_recall': 0.26498422712933756, 'combined_score': np.float64(0.28976220162309996)}, 'AdaBoost': {'cv_accuracy': np.float64(0.29976019184652275), 'test_accuracy': 0.3249211356466877, 'test_f1': 0.28420127183353977, 'test_precision': 0.4822200516348999, 'test_recall': 0.3249211356466877, 'combined_score': np.float64(0.30296086644225007)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.526378896882494), 'test_accuracy': 0.35646687697160884, 'test_f1': 0.3486903419178535, 'test_precision': 0.37002662608329495, 'test_recall': 0.35646687697160884, 'combined_score': np.float64(0.41051203859065205)}}"
META,simple_returns,SimpleReturns_b-0.02_s0.01_f1d,"{'buy_threshold': -0.02, 'sell_threshold': 0.01, 'forward_days': 1}",3,"{0: 0.5270142180094787, 1: 0.32796208530805687, 2: 0.14502369668246445}",RandomForest,0.4952681388012618,0.47932917282280474,0.4710947109471095,0.48189734085705865,"{'LogisticRegression': {'cv_accuracy': np.float64(0.34440344403444034), 'test_accuracy': 0.38170347003154576, 'test_f1': 0.41948382219435565, 'test_precision': 0.5518816104042982, 'test_recall': 0.38170347003154576, 'combined_score': np.float64(0.3818635787534473)}, 'RandomForest': {'cv_accuracy': np.float64(0.4710947109471095), 'test_accuracy': 0.4952681388012618, 'test_f1': 0.47932917282280474, 'test_precision': 0.48723946548987923, 'test_recall': 0.4952681388012618, 'combined_score': np.float64(0.48189734085705865)}, 'XGBoost': {'cv_accuracy': np.float64(0.49938499384993856), 'test_accuracy': 0.47003154574132494, 'test_f1': 0.44902858601257156, 'test_precision': 0.4575598501023204, 'test_recall': 0.47003154574132494, 'combined_score': np.float64(0.47281504186794504)}, 'KNN': {'cv_accuracy': np.float64(0.38253382533825336), 'test_accuracy': 0.3627760252365931, 'test_f1': 0.3974579059587392, 'test_precision': 0.4922498546451554, 'test_recall': 0.3627760252365931, 'combined_score': np.float64(0.38092258551119523)}, 'DecisionTree': {'cv_accuracy': np.float64(0.36654366543665434), 'test_accuracy': 0.35962145110410093, 'test_f1': 0.37189314981332955, 'test_precision': 0.49880240649621965, 'test_recall': 0.35962145110410093, 'combined_score': np.float64(0.36601942211802824)}, 'AdaBoost': {'cv_accuracy': np.float64(0.34932349323493234), 'test_accuracy': 0.4794952681388013, 'test_f1': 0.48620585371436376, 'test_precision': 0.49655857819587573, 'test_recall': 0.4794952681388013, 'combined_score': np.float64(0.4383415383626992)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.41943419434194346), 'test_accuracy': 0.4479495268138801, 'test_f1': 0.45430737347885136, 'test_precision': 0.48158251926725937, 'test_recall': 0.4479495268138801, 'combined_score': np.float64(0.44056369821155833)}}"
META,simple_returns,SimpleReturns_b-0.02_s0.01_f3d,"{'buy_threshold': -0.02, 'sell_threshold': 0.01, 'forward_days': 3}",3,"{1: 0.43033175355450237, 0: 0.2976303317535545, 2: 0.2720379146919431}",GradientBoosting,0.33753943217665616,0.3358709202833543,0.4627285513361463,0.3787129679320523,"{'LogisticRegression': {'cv_accuracy': np.float64(0.40646976090014064), 'test_accuracy': 0.29337539432176657, 'test_f1': 0.255215499736976, 'test_precision': 0.3666483067113982, 'test_recall': 0.29337539432176657, 'combined_score': np.float64(0.31835355165296103)}, 'RandomForest': {'cv_accuracy': np.float64(0.4556962025316456), 'test_accuracy': 0.2870662460567823, 'test_f1': 0.25900071255240126, 'test_precision': 0.4173930569604636, 'test_recall': 0.2870662460567823, 'combined_score': np.float64(0.3339210537136097)}, 'XGBoost': {'cv_accuracy': np.float64(0.4894514767932489), 'test_accuracy': 0.31230283911671924, 'test_f1': 0.2544281817376634, 'test_precision': 0.40409483441585875, 'test_recall': 0.31230283911671924, 'combined_score': np.float64(0.3520608325492105)}, 'KNN': {'cv_accuracy': np.float64(0.47257383966244726), 'test_accuracy': 0.2586750788643533, 'test_f1': 0.23633819912014287, 'test_precision': 0.32631525389233745, 'test_recall': 0.2586750788643533, 'combined_score': np.float64(0.3225290392156478)}, 'DecisionTree': {'cv_accuracy': np.float64(0.4219409282700422), 'test_accuracy': 0.35962145110410093, 'test_f1': 0.3035195328238869, 'test_precision': 0.3720493854019363, 'test_recall': 0.35962145110410093, 'combined_score': np.float64(0.3616939707326767)}, 'AdaBoost': {'cv_accuracy': np.float64(0.31082981715893104), 'test_accuracy': 0.305993690851735, 'test_f1': 0.2683114614248014, 'test_precision': 0.3884201481144739, 'test_recall': 0.305993690851735, 'combined_score': np.float64(0.29504498981182253)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.4627285513361463), 'test_accuracy': 0.33753943217665616, 'test_f1': 0.3358709202833543, 'test_precision': 0.378142328114897, 'test_recall': 0.33753943217665616, 'combined_score': np.float64(0.3787129679320523)}}"
META,simple_returns,SimpleReturns_b-0.02_s0.01_f5d,"{'buy_threshold': -0.02, 'sell_threshold': 0.01, 'forward_days': 5}",3,"{1: 0.47014218009478675, 2: 0.28720379146919434, 0: 0.24265402843601896}",GradientBoosting,0.38801261829652994,0.3916702125105833,0.5202614379084968,0.43331475623853666,"{'LogisticRegression': {'cv_accuracy': np.float64(0.3673202614379085), 'test_accuracy': 0.29337539432176657, 'test_f1': 0.23874719991004772, 'test_precision': 0.545066923497295, 'test_recall': 0.29337539432176657, 'combined_score': np.float64(0.2998142852232409)}, 'RandomForest': {'cv_accuracy': np.float64(0.5058823529411764), 'test_accuracy': 0.2996845425867508, 'test_f1': 0.2349577553879205, 'test_precision': 0.6331418717862861, 'test_recall': 0.2996845425867508, 'combined_score': np.float64(0.3468415503052826)}, 'XGBoost': {'cv_accuracy': np.float64(0.538562091503268), 'test_accuracy': 0.3186119873817035, 'test_f1': 0.30811276251739267, 'test_precision': 0.3818939499892399, 'test_recall': 0.3186119873817035, 'combined_score': np.float64(0.38842894713412135)}, 'KNN': {'cv_accuracy': np.float64(0.5006535947712418), 'test_accuracy': 0.3028391167192429, 'test_f1': 0.2527718084164748, 'test_precision': 0.434163075191422, 'test_recall': 0.3028391167192429, 'combined_score': np.float64(0.35208817330231984)}, 'DecisionTree': {'cv_accuracy': np.float64(0.3738562091503268), 'test_accuracy': 0.31230283911671924, 'test_f1': 0.31969111969111974, 'test_precision': 0.3461639569683734, 'test_recall': 0.31230283911671924, 'combined_score': np.float64(0.33528338931938856)}, 'AdaBoost': {'cv_accuracy': np.float64(0.36732026143790847), 'test_accuracy': 0.26813880126182965, 'test_f1': 0.20488396457841024, 'test_precision': 0.3637781117749022, 'test_recall': 0.26813880126182965, 'combined_score': np.float64(0.28011434242604943)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.5202614379084968), 'test_accuracy': 0.38801261829652994, 'test_f1': 0.3916702125105833, 'test_precision': 0.39605603820146684, 'test_recall': 0.38801261829652994, 'combined_score': np.float64(0.43331475623853666)}}"
META,simple_returns,SimpleReturns_b-0.02_s0.02_f1d,"{'buy_threshold': -0.02, 'sell_threshold': 0.02, 'forward_days': 1}",3,"{0: 0.6748815165876777, 1: 0.18009478672985782, 2: 0.14502369668246445}",XGBoost,0.5867507886435331,0.568370814130241,0.5488029465930019,0.5679748497889253,"{'LogisticRegression': {'cv_accuracy': np.float64(0.2992633517495396), 'test_accuracy': 0.38170347003154576, 'test_f1': 0.43925962994207274, 'test_precision': 0.5979645277086704, 'test_recall': 0.38170347003154576, 'combined_score': np.float64(0.37340881724105274)}, 'RandomForest': {'cv_accuracy': np.float64(0.3692449355432781), 'test_accuracy': 0.5993690851735016, 'test_f1': 0.5819137032751417, 'test_precision': 0.5800137448723873, 'test_recall': 0.5993690851735016, 'combined_score': np.float64(0.5168425746639738)}, 'XGBoost': {'cv_accuracy': np.float64(0.5488029465930019), 'test_accuracy': 0.5867507886435331, 'test_f1': 0.568370814130241, 'test_precision': 0.5772179690195052, 'test_recall': 0.5867507886435331, 'combined_score': np.float64(0.5679748497889253)}, 'KNN': {'cv_accuracy': np.float64(0.356353591160221), 'test_accuracy': 0.3470031545741325, 'test_f1': 0.4065217007761225, 'test_precision': 0.5556694622825082, 'test_recall': 0.3470031545741325, 'combined_score': np.float64(0.3699594821701586)}, 'DecisionTree': {'cv_accuracy': np.float64(0.2955801104972376), 'test_accuracy': 0.49842271293375395, 'test_f1': 0.5425925283969448, 'test_precision': 0.6083287769013321, 'test_recall': 0.49842271293375395, 'combined_score': np.float64(0.4455317839426454)}, 'AdaBoost': {'cv_accuracy': np.float64(0.24033149171270718), 'test_accuracy': 0.6182965299684543, 'test_f1': 0.6114660342213508, 'test_precision': 0.6056025540831673, 'test_recall': 0.6182965299684543, 'combined_score': np.float64(0.49003135196750414)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.4521178637200736), 'test_accuracy': 0.501577287066246, 'test_f1': 0.533486545785688, 'test_precision': 0.5924768416496259, 'test_recall': 0.501577287066246, 'combined_score': np.float64(0.4957272321906692)}}"
META,simple_returns,SimpleReturns_b-0.02_s0.02_f3d,"{'buy_threshold': -0.02, 'sell_threshold': 0.02, 'forward_days': 3}",3,"{0: 0.4075829383886256, 1: 0.32037914691943126, 2: 0.2720379146919431}",DecisionTree,0.41324921135646686,0.4096735526592625,0.3891472868217054,0.4040233502791449,"{'LogisticRegression': {'cv_accuracy': np.float64(0.40310077519379844), 'test_accuracy': 0.3312302839116719, 'test_f1': 0.3027981955609114, 'test_precision': 0.36480229159028316, 'test_recall': 0.3312302839116719, 'combined_score': np.float64(0.3457097515554606)}, 'RandomForest': {'cv_accuracy': np.float64(0.44961240310077527), 'test_accuracy': 0.35962145110410093, 'test_f1': 0.34465747075558656, 'test_precision': 0.44624063772352, 'test_recall': 0.35962145110410093, 'combined_score': np.float64(0.3846304416534876)}, 'XGBoost': {'cv_accuracy': np.float64(0.4170542635658914), 'test_accuracy': 0.3753943217665615, 'test_f1': 0.3282863148996819, 'test_precision': 0.37923108972451275, 'test_recall': 0.3753943217665615, 'combined_score': np.float64(0.3735783000773783)}, 'KNN': {'cv_accuracy': np.float64(0.4232558139534884), 'test_accuracy': 0.2870662460567823, 'test_f1': 0.26309948130280575, 'test_precision': 0.4105671410059816, 'test_recall': 0.2870662460567823, 'combined_score': np.float64(0.32447384710435884)}, 'DecisionTree': {'cv_accuracy': np.float64(0.3891472868217054), 'test_accuracy': 0.41324921135646686, 'test_f1': 0.4096735526592625, 'test_precision': 0.46255507823371267, 'test_recall': 0.41324921135646686, 'combined_score': np.float64(0.4040233502791449)}, 'AdaBoost': {'cv_accuracy': np.float64(0.37674418604651166), 'test_accuracy': 0.26813880126182965, 'test_f1': 0.2098934329919992, 'test_precision': 0.38442834297699335, 'test_recall': 0.26813880126182965, 'combined_score': np.float64(0.2849254734334468)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.4124031007751938), 'test_accuracy': 0.31545741324921134, 'test_f1': 0.29556687765407025, 'test_precision': 0.2999199276013156, 'test_recall': 0.31545741324921134, 'combined_score': np.float64(0.34114246389282515)}}"
META,simple_returns,SimpleReturns_b-0.02_s0.02_f5d,"{'buy_threshold': -0.02, 'sell_threshold': 0.02, 'forward_days': 5}",3,"{1: 0.3924170616113744, 0: 0.32037914691943126, 2: 0.28720379146919434}",GradientBoosting,0.3753943217665615,0.350969412721681,0.4116743471582181,0.3793460272154869,"{'LogisticRegression': {'cv_accuracy': np.float64(0.4055299539170507), 'test_accuracy': 0.3280757097791798, 'test_f1': 0.2675958238397614, 'test_precision': 0.4592344917980626, 'test_recall': 0.3280757097791798, 'combined_score': np.float64(0.33373382917866395)}, 'RandomForest': {'cv_accuracy': np.float64(0.4316436251920123), 'test_accuracy': 0.305993690851735, 'test_f1': 0.22698148572023977, 'test_precision': 0.4959507074732046, 'test_recall': 0.305993690851735, 'combined_score': np.float64(0.3215396005879957)}, 'XGBoost': {'cv_accuracy': np.float64(0.4316436251920123), 'test_accuracy': 0.3028391167192429, 'test_f1': 0.2865935400237154, 'test_precision': 0.3632219720802922, 'test_recall': 0.3028391167192429, 'combined_score': np.float64(0.3403587606449902)}, 'KNN': {'cv_accuracy': np.float64(0.41321044546851), 'test_accuracy': 0.2744479495268139, 'test_f1': 0.2218052420272526, 'test_precision': 0.3607642238270285, 'test_recall': 0.2744479495268139, 'combined_score': np.float64(0.30315454567419214)}, 'DecisionTree': {'cv_accuracy': np.float64(0.35944700460829493), 'test_accuracy': 0.33753943217665616, 'test_f1': 0.2094958087236443, 'test_precision': 0.1695542088660136, 'test_recall': 0.33753943217665616, 'combined_score': np.float64(0.3021607485028651)}, 'AdaBoost': {'cv_accuracy': np.float64(0.37173579109062976), 'test_accuracy': 0.2996845425867508, 'test_f1': 0.24422076817980873, 'test_precision': 0.4298356907288295, 'test_recall': 0.2996845425867508, 'combined_score': np.float64(0.3052137006190631)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.4116743471582181), 'test_accuracy': 0.3753943217665615, 'test_f1': 0.350969412721681, 'test_precision': 0.36908953612610046, 'test_recall': 0.3753943217665615, 'combined_score': np.float64(0.3793460272154869)}}"
META,simple_returns,SimpleReturns_b-0.01_s0.005_f1d,"{'buy_threshold': -0.01, 'sell_threshold': 0.005, 'forward_days': 1}",3,"{1: 0.4104265402843602, 0: 0.3109004739336493, 2: 0.2786729857819905}",GradientBoosting,0.3217665615141956,0.31132297454641294,0.4900284900284901,0.3743726753630329,"{'LogisticRegression': {'cv_accuracy': np.float64(0.3831908831908832), 'test_accuracy': 0.277602523659306, 'test_f1': 0.25022441274415097, 'test_precision': 0.357543684398941, 'test_recall': 0.277602523659306, 'combined_score': np.float64(0.30367260653144673)}, 'RandomForest': {'cv_accuracy': np.float64(0.46438746438746437), 'test_accuracy': 0.29337539432176657, 'test_f1': 0.2853683937032035, 'test_precision': 0.34332062034235716, 'test_recall': 0.29337539432176657, 'combined_score': np.float64(0.34771041747081144)}, 'XGBoost': {'cv_accuracy': np.float64(0.4928774928774929), 'test_accuracy': 0.2870662460567823, 'test_f1': 0.2833457969563047, 'test_precision': 0.3321413577730917, 'test_recall': 0.2870662460567823, 'combined_score': np.float64(0.35442984529685995)}, 'KNN': {'cv_accuracy': np.float64(0.41737891737891736), 'test_accuracy': 0.30914826498422715, 'test_f1': 0.29831815245406335, 'test_precision': 0.3174834278935225, 'test_recall': 0.30914826498422715, 'combined_score': np.float64(0.34161511160573593)}, 'DecisionTree': {'cv_accuracy': np.float64(0.3988603988603989), 'test_accuracy': 0.3753943217665615, 'test_f1': 0.29533567286625895, 'test_precision': 0.35651341123394803, 'test_recall': 0.3753943217665615, 'combined_score': np.float64(0.35653013116440646)}, 'AdaBoost': {'cv_accuracy': np.float64(0.3632478632478633), 'test_accuracy': 0.3501577287066246, 'test_f1': 0.3502381523350378, 'test_precision': 0.3678585095930082, 'test_recall': 0.3501577287066246, 'combined_score': np.float64(0.3545479147631752)}, 'GradientBoosting': {'cv_accuracy': np.float64(0.4900284900284901), 'test_accuracy': 0.3217665615141956, 'test_f1': 0.31132297454641294, 'test_precision': 0.33371329416868484, 'test_recall': 0.3217665615141956, 'combined_score': np.float64(0.3743726753630329)}}"
